Restaurant_Num,Sales,Customer_Count,Week,Day,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday
254,1734.43,225,19,Friday,1,0,0,0,0,0,0
254,1535.94,206,19,Monday,0,1,0,0,0,0,0
254,1357.88,160,19,Saturday,0,0,1,0,0,0,0
254,1082.51,123,19,Sunday,0,0,0,1,0,0,0
254,1503.8,203,19,Thursday,0,0,0,0,1,0,0
254,1374.67,193,19,Tuesday,0,0,0,0,0,1,0
254,1501.03,215,19,Wednesday,0,0,0,0,0,0,1
254,1925.04,246,20,Friday,1,0,0,0,0,0,0
254,1480.65,185,20,Monday,0,1,0,0,0,0,0
254,1243.51,166,20,Saturday,0,0,1,0,0,0,0
254,1445.91,165,20,Sunday,0,0,0,1,0,0,0
254,1476.15,198,20,Thursday,0,0,0,0,1,0,0
254,1422.95,197,20,Tuesday,0,0,0,0,0,1,0
254,1004.06,151,20,Wednesday,0,0,0,0,0,0,1
254,1636.4,210,21,Friday,1,0,0,0,0,0,0
254,1483.49,206,21,Monday,0,1,0,0,0,0,0
254,1428.37,172,21,Saturday,0,0,1,0,0,0,0
254,873.85,113,21,Sunday,0,0,0,1,0,0,0
254,1428.9,193,21,Thursday,0,0,0,0,1,0,0
254,1456.65,193,21,Tuesday,0,0,0,0,0,1,0
254,1605.45,204,21,Wednesday,0,0,0,0,0,0,1
254,2427.17,281,22,Friday,1,0,0,0,0,0,0
254,701.42,104,22,Monday,0,1,0,0,0,0,0
254,1684.4,204,22,Saturday,0,0,1,0,0,0,0
254,1807.35,192,22,Sunday,0,0,0,1,0,0,0
254,1828.21,222,22,Thursday,0,0,0,0,1,0,0
254,1272.3,168,22,Tuesday,0,0,0,0,0,1,0
254,1586.73,199,22,Wednesday,0,0,0,0,0,0,1
254,1575.38,208,23,Friday,1,0,0,0,0,0,0
254,1626.3,209,23,Monday,0,1,0,0,0,0,0
254,1382.44,173,23,Saturday,0,0,1,0,0,0,0
254,1205.42,146,23,Sunday,0,0,0,1,0,0,0
254,1655.98,201,23,Thursday,0,0,0,0,1,0,0
254,1678.95,223,23,Tuesday,0,0,0,0,0,1,0
254,1441.24,202,23,Wednesday,0,0,0,0,0,0,1
254,1632.63,201,24,Friday,1,0,0,0,0,0,0
254,1212.45,168,24,Monday,0,1,0,0,0,0,0
